average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days
3.60777286500486e-13,0.0019367005849633928,31,0,0x5c69e7cb7ca0841272eeee8413ab2a8c34dfde91,6178,2,11.96493621390384,4
3.583076788604737e-13,0.0019612527196638608,31,0,0x0aed35e346b095be3b8ace7cb3335216e5e35ea9,6178,2,12.116619302083333,4
3.599023952735511e-13,0.0019697887306695913,31,0,0x555367db1b9c6d3500532d8c06c7a30e6447f27a,6178,2,12.169354778076734,4
3.581640747814844e-13,0.0019379385868576937,31,0,0xf8c6d46a1a3b64744916ad30207be1a6993e5344,6178,2,11.972584589606832,4
3.608978292327621e-13,0.001961625281763433,31,0,0x0e8f79a6118cca6cb077fb9735f28f7c18c6cd58,6178,2,12.118920990734491,4
3.567972737131778e-13,0.0019455180105549237,31,0,0x3f7464987083dd9fae8c63d6d6ca893971bdccab,6178,2,12.019410269208318,4
3.5599561961800003e-13,0.0019216226510601357,31,0,0x6c5ffb06253e4aa3072849db4ccfc433dd72639b,6178,2,11.871784738249518,4
3.593801215800558e-13,0.001965150739857269,31,0,0xbe5e61b95f6137ce8cb922a347c57ada8cbe23a6,6177,2,12.13873612009835,4
3.575376028816585e-13,0.001930232938150262,31,0,0xacaf734833d003e6b6b89c4d9943978cddcb2a3a,6177,2,11.923048858954168,4
3.635159506232825e-13,0.001992482273075298,31,0,0xdba7338af59043ae26f2615cc9e984ad3eec6b97,6177,2,12.307563000786114,4
3.5907400598996347e-13,0.0019825239227444303,31,0,0x4dcbc33351c31492bbe3931e4690bc0d304f2869,6177,2,12.246050270792347,4
3.5981878581835957e-13,0.0019572194824869827,31,0,0x3945dd1a63c63f48a7e510dec84b723da4133ca3,6177,2,12.089744743322091,4
3.5977053925854044e-13,0.0019613150997134354,31,0,0x2a297018c1075e7caf80e23fc17cc84bfde983c2,6177,2,12.11504337092989,4
3.579688853812542e-13,0.001935746162179353,31,0,0x35384d8f464608c7c3e012c3c3c71697ef5a1a15,6177,2,11.957104043781863,4
3.6078528606119554e-13,0.0019488702642309935,31,0,0xd2c3e78399474843b10cd3812f5e455468beec9e,6177,2,12.038171622154847,4
3.676594578274257e-13,0.0020251782935876636,31,0,0xea4831075c38dc8a16d621ec9391fc828f629481,6177,2,12.509526319490998,4
3.595700404727217e-13,0.0019408066971097159,31,0,0x5bda640779775e5a3e44198f0949a466f2ddfe52,6177,2,11.988362968046715,4
3.6347446009389837e-13,0.0019718955995486408,31,0,0xeb549b5ebf5735aa666cdab659b20b3dca82cd77,6177,2,12.180399118411954,4
3.608092531973461e-13,0.0019578943987680095,31,0,0xa5117a7ab4d40fa3e617bbfd99acb8ad697a3403,6177,2,12.093913701189996,4
3.605365218588076e-13,0.0019623493310340586,31,0,0x746c6f566d0aa3e36bfc96e3c151be66e50363cb,6176,2,12.119469468466347,4
3.619532833549225e-13,0.0019391593474439404,31,0,0x59c6842fb31383d8d44cc9329fcfa1dcf87b2e9e,6176,2,11.976248129813776,4
3.579762945272021e-13,0.0019400781790454905,31,0,0xac04f3f37a0874d75dd916f04386914211afd499,6176,2,11.98192283378495,4
3.6410522636010285e-13,0.0020049343647136563,31,0,0x28b4df7dc9a2fd3adf055b67aed0067aa4e5691a,6176,2,12.38247463647154,4
